GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.tollparking,com.tollparking.exception,ParkingFullException,0,5,0,0,0,2,0,2,0,2
com.tollparking,com.tollparking.exception,InvalidParkingSlotTypeException,0,17,0,0,0,4,0,2,0,2
com.tollparking,com.tollparking,ParkingLot,2,101,3,9,1,26,3,7,0,4
com.tollparking,com.tollparking,ParkingLot.Builder,0,30,0,0,0,9,0,4,0,4
com.tollparking,com.tollparking.domain,TicketStatus,0,34,0,0,0,2,0,1,0,1
com.tollparking,com.tollparking.domain,Ticket,3,150,0,0,1,34,1,15,1,15
com.tollparking,com.tollparking.domain,ParkingSlotType,0,34,0,0,0,2,0,1,0,1
com.tollparking,com.tollparking.domain,ParkingSlot,17,17,0,0,7,8,5,4,5,4
com.tollparking,com.tollparking.domain,Vehicle,26,18,0,0,6,8,3,4,3,4
com.tollparking,com.tollparking.domain,VehicleType,0,34,0,0,0,2,0,1,0,1
com.tollparking,com.tollparking.repository,ParkingSlotRepository,0,88,0,4,0,17,0,7,0,5
com.tollparking,com.tollparking.repository,TicketRepository,0,11,0,0,0,4,0,2,0,2
com.tollparking,com.tollparking.util,DefaultBillingPolicy.Builder,8,15,0,0,3,5,1,3,1,3
com.tollparking,com.tollparking.util,DefaultBillingPolicy,13,49,2,2,4,13,3,2,1,2
com.tollparking,com.tollparking.util,TicketIDGenerator,3,15,0,0,1,2,1,2,1,2
com.tollparking,com.tollparking.service,TicketService,0,95,0,8,0,25,0,11,0,7
com.tollparking,com.tollparking.service,ParkingSlotService,9,209,2,10,3,42,2,14,0,10
